cluster,pcis_rank,road_name,highway_type,lat_center,lon_center,violation_count,unique_vehicles,peak_ratio,dominant_hour,dominant_day,dominant_type,road_capacity_factor,violation_freq,speed_degradation,peak_hour_weight,PCIS,PCIS_score,severity_tier,spread_m
8,16,New Horizon College Road,tertiary,12.93378785992413,77.69090073424664,2948,1967,0.1136363636363636,23,Thursday,['NO PARKING'],0.55,0.7563168078787378,0.82,1.1136,0.379848,50.85,HIGH,166.93966044022324
12,17,4th Main Road,primary,12.996321993693693,77.56312972162164,222,168,0.0315315315315315,4,Wednesday,['NO PARKING'],0.85,0.4502174644422991,0.94,1.0315,0.371055,49.67,HIGH,26.5199329153988
79,18,Mysore Road,primary,12.95313900188812,77.54218756858285,706,682,0.3824362606232294,19,Saturday,['WRONG PARKING'],0.85,0.5870062561430963,0.5096,1.3824,0.3515,47.06,HIGH,162.01384295064315
27,19,10th Cross Road,primary,13.004680159149752,77.55174173471737,7042,6141,0.1128940641863107,2,Sunday,['WRONG PARKING'],0.82,0.8595217639975876,0.4253,1.1129,0.333597,44.66,HIGH,675.6235847132795
107,20,Outer Ring Road,trunk,12.979085451301474,77.6951208354154,233,219,0.2403433476394849,21,Thursday,['NO PARKING'],0.95,0.45592551991138075,0.6094,1.2403,0.327376,43.83,HIGH,80.02128266025363
47,21,Hosur Road,primary,12.89207373212457,77.63795293475972,421,361,0.6460807600950119,20,Wednesday,['WRONG PARKING'],0.82,0.5258319785010633,0.448,1.6461,0.317977,42.57,HIGH,148.72924337791557
178,22,Konanakunte Main Road,primary,12.917035693850622,77.57352129489577,263,242,0.2813688212927757,5,Friday,['NO PARKING'],0.85,0.47022584447833043,0.6198,1.2814,0.31744,42.5,HIGH,76.99591689948512
41,23,Hosur Road,primary,12.912914627289418,77.62552149329751,57,55,0.5964912280701754,20,Saturday,['WRONG PARKING'],0.85,0.29056414734925123,0.7851,1.5965,0.309567,41.44,HIGH,28.417337814437605
15,24,Outer Ring Road,trunk,12.942040762004206,77.69758692936601,1809,1740,0.1116639027086788,2,Thursday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.95,0.6984483949922236,0.4176,1.1117,0.308039,41.24,HIGH,550.6563488062806
7,25,17th Cross Road,secondary,12.912469580501892,77.63468376384269,451,441,0.6097560975609756,9,Sunday,['WRONG PARKING'],0.7,0.5339735506944734,0.5059,1.6098,0.304407,40.75,HIGH,112.20913134023806
290,26,Domlur Inner Ring Road,trunk,12.96360931911028,77.64152772509769,103,99,0.1941747572815534,4,Sunday,['NO PARKING'],0.95,0.3597905722459867,0.7371,1.1942,0.300869,40.28,HIGH,42.6520134662938
141,27,Sarjapura Main Road,primary,12.896615943548388,77.72008344354839,62,62,0.2419354838709677,0,Friday,['WRONG PARKING'],0.85,0.3003671656807459,0.94,1.2419,0.298048,39.9,HIGH,25.064519335601737
315,28,Bellary Road,primary,13.049996337021277,77.59312144851063,235,211,0.3957446808510638,22,Tuesday,['NO PARKING'],0.85,0.4569344534662781,0.5438,1.3957,0.294784,39.46,HIGH,85.2747157678209
125,29,Magadi Main Road,primary,12.989322694505494,77.50064835384616,91,91,0.0329670329670329,5,Monday,['NO PARKING'],0.85,0.34525619236679633,0.94,1.033,0.284963,38.15,HIGH,22.60334261916708
130,30,Thavarekere Main Road,primary,12.930540512,77.60974053199999,100,82,0.62,20,Friday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.85,0.35632059836377444,0.5751,1.62,0.282175,37.78,HIGH,51.78700704968899
2,31,Hospital Road,residential,12.973246191113612,77.57758568088747,23034,19713,0.2289658765303464,3,Thursday,['WRONG PARKING'],0.45,1.0,0.5085,1.229,0.281226,37.65,HIGH,664.9855790804398
104,32,Sri DV Gundappa Road,secondary,12.944189546786957,77.57128490067838,866,814,0.2321016166281755,5,Thursday,['WRONG PARKING'],0.7,0.6111912327267088,0.5255,1.2321,0.277009,37.08,HIGH,149.1582751711294
157,33,Rao Bahadur DGT Road,secondary,12.977027192307691,77.57076778783541,559,544,0.2844364937388193,2,Saturday,['NO PARKING'],0.67,0.559373214834266,0.5726,1.2844,0.275631,36.9,HIGH,107.58234086940232
111,34,Hosur Road,primary,12.8184929875,77.68915773214285,56,56,0.75,20,Friday,['WRONG PARKING'],0.85,0.2885023740400551,0.6276,1.75,0.269333,36.06,HIGH,35.03933238752829
221,35,Kodigehalli Main Road,primary,13.0034527,77.72350162272727,66,66,0.0909090909090909,0,Tuesday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.85,0.3076647909308004,0.94,1.0909,0.26817,35.9,HIGH,16.67780633601404
539,36,Bellary Road,primary,13.053831858024692,77.59282061481481,81,79,0.0,6,Saturday,['WRONG PARKING'],0.85,0.33161484102047845,0.94,1.0,0.26496,35.47,HIGH,19.71804316910129
324,37,Dr Rajkumar Puniya Bhoomi Road,secondary,12.98691708111111,77.51920515333333,90,82,0.2444444444444444,2,Wednesday,['NO PARKING'],0.7,0.3439605622341003,0.88,1.2444,0.263663,35.3,HIGH,29.74141094149972
21,38,1st Main Road,primary,12.957875610944496,77.70160903316963,732,677,0.1584699453551912,22,Thursday,['NO PARKING'],0.82,0.5912876567191402,0.4653,1.1585,0.261362,34.99,MEDIUM,183.33334520401047
234,39,Whitefield Road,primary,12.987942578333334,77.73404272333333,60,58,0.1,6,Tuesday,"['PARKING ON FOOTPATH', 'WRONG PARKING']",0.85,0.2965426734630804,0.94,1.1,0.260631,34.89,MEDIUM,15.156438128065815
307,40,Bellahali Main Road,primary,13.12154094437086,77.63117182913908,151,146,0.7483443708609272,19,Saturday,"['PARKING IN A MAIN ROAD', 'NO PARKING']",0.85,0.40477867873483026,0.4329,1.7483,0.260399,34.86,MEDIUM,101.23014979837605
121,41,Netaji Road,secondary,13.000113515570934,77.61120114394464,289,264,0.2145328719723183,22,Saturday,['NO PARKING'],0.7,0.48136136564069326,0.6089,1.2145,0.24918,33.36,MEDIUM,74.44123843440642
154,42,Old Madras Road,primary,12.993626796460177,77.66239929867257,226,220,0.1991150442477876,2,Thursday,['NO PARKING'],0.85,0.45232505732348816,0.5378,1.1991,0.24794,33.19,MEDIUM,84.89194366310167
207,43,1st Cross Road,secondary,12.93567733097015,77.61566707966418,536,517,0.2052238805970149,3,Sunday,['NO PARKING'],0.76,0.5544014261245505,0.4824,1.2052,0.244965,32.79,MEDIUM,137.65699543291777
24,44,1st Cross Road,secondary,12.96692104646727,77.53782886442603,2146,1939,0.2213420316868593,5,Saturday,['WRONG PARKING'],0.7,0.7186900014020652,0.3958,1.2213,0.243186,32.56,MEDIUM,341.89144647252454
314,45,RV Road,secondary,12.948236582432433,77.5799781027027,74,72,0.4864864864864865,21,Monday,['NO PARKING'],0.7,0.321036581387875,0.7264,1.4865,0.242657,32.48,MEDIUM,32.33321256963632
115,46,ITPL Main Road,primary,12.963451297322424,77.71733895232805,1211,1137,0.0677126341866226,23,Tuesday,['WRONG PARKING'],0.85,0.6509037399876796,0.4096,1.0677,0.241961,32.39,MEDIUM,331.1977544530269
244,47,Abbigere Main Road,tertiary,13.050460300884955,77.52553149557522,113,62,0.2566371681415929,5,Tuesday,['NO PARKING'],0.61,0.37067426330379116,0.844,1.2566,0.239807,32.1,MEDIUM,10.0
123,48,Nagasandra Layout Main Road,tertiary,13.047061206976746,77.50103740465116,86,77,0.1976744186046511,22,Wednesday,['WRONG PARKING'],0.67,0.33863162118194823,0.868,1.1977,0.235869,31.58,MEDIUM,22.55969525118811
283,49,Outer Ring Road,trunk,12.920947954534313,77.66552672543556,118,115,0.2203389830508474,0,Thursday,['WRONG PARKING'],0.95,0.37576298344873876,0.537,1.2203,0.233926,31.32,MEDIUM,68.8462923314876
0,50,Domlur Inner Ring Road,trunk,12.924977152046782,77.61882235263157,171,148,0.4093567251461988,19,Monday,['NO PARKING'],0.81,0.41943298677512486,0.4879,1.4094,0.233621,31.28,MEDIUM,81.10793348972936
263,51,Mysore Road,primary,12.940535136082474,77.52458504536082,97,96,0.3505154639175257,5,Monday,['WRONG PARKING'],0.85,0.3527459865309378,0.5697,1.3505,0.230686,30.88,MEDIUM,51.60050752239074
81,52,Hosahalli Main Road,primary,12.964374932608695,77.55411654211956,368,332,0.3125,5,Wednesday,['NO PARKING'],0.85,0.5099216779496084,0.4041,1.3125,0.229885,30.78,MEDIUM,190.34366310747987
190,53,10th Cross Road,secondary,12.93152245,77.59254486842106,38,37,0.5263157894736842,7,Wednesday,['WRONG PARKING'],0.7,0.24351426755121156,0.88,1.5263,0.228952,30.65,MEDIUM,14.682695087493483
553,54,2nd Main Road,primary,13.003523763265306,77.66275438163265,49,34,0.0408163265306122,22,Thursday,['NO PARKING'],0.85,0.2729691075551781,0.94,1.0408,0.227001,30.39,MEDIUM,11.002067985005247
96,55,80 Feet Ring Road,trunk,12.980404067235478,77.55669627135443,362,346,0.2016574585635359,6,Thursday,['NO PARKING'],0.9,0.5079782085692535,0.4127,1.2017,0.226735,30.35,MEDIUM,208.1960723862352
40,56,Old Airport Road,primary,12.959672839777216,77.64673029565353,594,571,0.1228956228956228,0,Friday,['NO PARKING'],0.85,0.5665602017401807,0.4112,1.1229,0.222361,29.77,MEDIUM,229.3372963343698
19,57,Unnamed Road,tertiary,13.185395411157272,77.68011042658755,1685,1614,0.3703264094955489,23,Friday,['NO PARKING'],0.55,0.6900352128779411,0.4262,1.3703,0.221648,29.67,MEDIUM,226.97961721073668
142,58,Whitefield Road,primary,12.995458590533453,77.69591397807537,340,327,0.2,6,Sunday,['NO PARKING'],0.85,0.5005664841986094,0.4289,1.2,0.218987,29.32,MEDIUM,155.33273470494362
432,59,4th Main Road,primary,12.960840185031024,77.52828177905133,202,186,0.1089108910891089,6,Friday,['WRONG PARKING'],0.85,0.439077915864837,0.5277,1.1089,0.218394,29.24,MEDIUM,82.37440948877153
206,60,ITPL Main Road,primary,12.9722877815768,77.71169016148939,279,269,0.3799283154121863,21,Monday,['WRONG PARKING'],0.85,0.47720132557053,0.3886,1.3799,0.217506,29.12,MEDIUM,190.2111224220252
269,61,2nd Main Road,primary,12.935592206493506,77.60811314805194,77,69,0.7272727272727273,21,Wednesday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.85,0.3256861568149476,0.4442,1.7273,0.212405,28.44,MEDIUM,68.265641439996
303,62,Srinivagilu Main Road,primary,12.937165134146342,77.62710363170731,41,41,0.3902439024390244,8,Wednesday,['WRONG PARKING'],0.69,0.252299691848049,0.876,1.3902,0.212006,28.38,MEDIUM,18.75221333047909
61,63,20th Main Road,primary,13.063247465185183,77.59129917555555,135,129,0.6888888888888889,8,Friday,['WRONG PARKING'],0.85,0.39159299346062515,0.3763,1.6889,0.21154,28.32,MEDIUM,153.20529675586508
3,64,Dispensary Road,residential,12.981960632372944,77.60781752064864,9865,8124,0.1253928028383172,5,Sunday,['WRONG PARKING'],0.35,0.899479916262103,0.5967,1.1254,0.211409,28.3,MEDIUM,369.05926584753104
54,65,Lalbagh Main Road,primary,12.956362314030612,77.58568084464285,392,375,0.2040816326530612,2,Thursday,['NO PARKING'],0.85,0.5173918008323406,0.398,1.2041,0.210758,28.21,MEDIUM,206.4455312048678
4,66,Coles Road,tertiary,12.995606481405895,77.61398204988663,441,409,0.5079365079365079,7,Tuesday,['NO PARKING'],0.55,0.5313213376793735,0.4753,1.5079,0.20944,28.04,MEDIUM,104.37324434180356
106,67,Hosur Road,primary,12.87590724661017,77.64798102203389,118,113,0.5423728813559322,21,Sunday,['WRONG PARKING'],0.85,0.37576298344873876,0.4247,1.5424,0.209224,28.01,MEDIUM,93.7171904565565
84,68,G Narayana Kumar Road,tertiary,12.975717607071124,77.5596867505391,706,661,0.1968838526912181,23,Friday,['WRONG PARKING'],0.61,0.5870062561430963,0.4866,1.1969,0.208546,27.92,MEDIUM,135.45164629561015
177,69,41st Main Road,primary,12.911066685897437,77.57318414102564,78,63,0.9102564102564102,21,Friday,['WRONG PARKING'],0.82,0.32719635529063823,0.4043,1.9103,0.207218,27.74,MEDIUM,80.31878478946851
312,70,Srinivagilu Main Road,primary,12.932576858426966,77.63153250337078,89,84,0.4157303370786517,21,Friday,['NO PARKING'],0.85,0.34265061545660214,0.4997,1.4157,0.20604,27.58,MEDIUM,59.27507791882692
163,71,4th Cross Road,secondary,13.05828360888889,77.59152350222222,45,45,0.6666666666666666,7,Tuesday,['WRONG PARKING'],0.76,0.26308430310306025,0.618,1.6667,0.205947,27.57,MEDIUM,30.06043025542648
31,72,Tippu Sultan Palace Road,tertiary,12.959454621253984,77.5770993957492,941,861,0.2189160467587672,23,Wednesday,['WRONG PARKING'],0.55,0.6210268024676013,0.4931,1.2189,0.205294,27.48,MEDIUM,147.39870928474917
76,73,Hosapalya Main Road,primary,12.906449824573643,77.63009758482274,361,351,0.3822714681440443,6,Saturday,['WRONG PARKING'],0.75,0.5076511767007815,0.3879,1.3823,0.20415,27.33,MEDIUM,160.95270569942147
38,74,Sri Venkataranga Ayangar Road,secondary,13.002857808487654,77.57066617771605,3240,2959,0.0805555555555555,3,Thursday,['WRONG PARKING'],0.7,0.7675097037220977,0.3513,1.0806,0.203951,27.3,MEDIUM,535.2442072151124
59,75,Chord Road,residential,12.974358655513129,77.54561302863962,2095,1464,0.0992840095465393,3,Tuesday,['WRONG PARKING'],0.35,0.7158399947908518,0.74,1.0993,0.203813,27.28,MEDIUM,108.97061061718894
249,76,Whitefield Road,primary,12.987232678991598,77.73527166890757,119,112,0.0924369747899159,22,Thursday,"['PARKING ON FOOTPATH', 'WRONG PARKING']",0.85,0.37675503088764123,0.5778,1.0924,0.202133,27.06,MEDIUM,56.1753934761644
136,77,Bellary Road,primary,13.071624648717949,77.59317050512821,39,39,0.0256410256410256,23,Tuesday,['NO PARKING'],0.85,0.24651566779120823,0.94,1.0256,0.202008,27.04,MEDIUM,10.0
73,78,12th Main Road,primary,12.98601282248758,77.55436602213679,559,497,0.1610017889087656,3,Wednesday,['NO PARKING'],0.79,0.559373214834266,0.393,1.161,0.201629,26.99,MEDIUM,213.9278331275274
89,79,Bikasipura Main Road,primary,12.893828594117648,77.56778893529412,34,29,0.0588235294117647,5,Sunday,['NO PARKING'],0.85,0.23068565777932185,0.94,1.0588,0.195156,26.13,MEDIUM,18.875295564549347
147,80,RT Nagar Main Road,primary,13.022815604402515,77.59284681257861,318,305,0.1415094339622641,2,Tuesday,['WRONG PARKING'],0.85,0.4926602899676464,0.4069,1.1415,0.194505,26.04,MEDIUM,173.14338392888726
538,81,7th Main Road,secondary,12.992611391891892,77.55807727297298,148,135,0.2837837837837837,6,Friday,['WRONG PARKING'],0.76,0.4024154979482241,0.4937,1.2838,0.193842,25.95,MEDIUM,70.14003848817374
245,82,Rajatha Bhavana Road,secondary,13.05078198181818,77.55281588636365,66,64,0.0151515151515151,2,Tuesday,['NO PARKING'],0.7,0.3076647909308004,0.88,1.0152,0.192402,25.76,MEDIUM,24.93175831423537
13,83,5th Cross Road,secondary,12.969669190185993,77.64408688752366,1051,992,0.2730732635585157,2,Sunday,['NO PARKING'],0.73,0.6341197212243024,0.3262,1.2731,0.192239,25.74,MEDIUM,440.3896749703276
198,84,Leela Palace Road,primary,12.962198286842106,77.6491182131579,38,36,0.0789473684210526,23,Sunday,['NO PARKING'],0.79,0.24351426755121156,0.916,1.0789,0.19012,25.45,MEDIUM,18.701682791776708
276,85,80 Feet Ring Road,trunk,12.985099014285714,77.56008478766233,154,123,0.1168831168831168,5,Wednesday,['WRONG PARKING'],0.95,0.4070956706079201,0.4369,1.1169,0.188719,25.26,MEDIUM,130.64259367769776
80,86,7th Main Road,primary,12.929205196450615,77.5818610191358,648,559,0.1172839506172839,3,Sunday,['NO PARKING'],0.75,0.5768587068209372,0.3857,1.1173,0.186445,24.96,MEDIUM,218.38724304594115
43,87,Chikkabellanduru Road,secondary,12.903682264099604,77.70417900016936,65,62,0.3076923076923077,6,Sunday,['WRONG PARKING'],0.73,0.30588206595085826,0.6337,1.3077,0.185041,24.77,MEDIUM,34.63453131871969
160,88,Shri Ramalingeshwara Cave Temple Road,tertiary,12.876375291549296,77.59543722957747,71,67,0.352112676056338,6,Friday,['NO PARKING'],0.55,0.3161971756926323,0.7865,1.3521,0.184939,24.76,MEDIUM,28.112121751213348
318,89,Housur Main Road,primary,12.885362415196347,77.6419133439666,64,63,0.71875,20,Friday,['WRONG PARKING'],0.85,0.3040721227462205,0.4144,1.7188,0.184094,24.64,MEDIUM,73.65989256106063
200,90,11th Main Road,primary,12.931610186585369,77.58605077682927,82,80,0.0609756097560975,4,Saturday,['NO PARKING'],0.85,0.3330518159131485,0.6098,1.061,0.183161,24.52,MEDIUM,43.77729163495948
64,91,Thavarekere Main Road,primary,12.926612974509805,77.60894490098039,102,96,0.3823529411764705,21,Tuesday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.85,0.35864516259017026,0.4258,1.3824,0.179442,24.02,MEDIUM,86.58266370796709
321,92,SM Road,secondary,13.040015912564105,77.51850481794872,130,126,0.3769230769230769,21,Sunday,['NO PARKING'],0.7,0.38715243773590746,0.4749,1.3769,0.177209,23.72,MEDIUM,64.84539837434154
229,93,3rd A Cross Road,secondary,13.099643827906975,77.58867542906977,86,86,0.0,6,Sunday,['NO PARKING'],0.73,0.33863162118194823,0.7058,1.0,0.174475,23.36,MEDIUM,36.20116494640457
188,94,4th Main Road,primary,12.997226098214286,77.56845388214286,56,55,0.0357142857142857,5,Saturday,['WRONG PARKING'],0.85,0.2885023740400551,0.6839,1.0357,0.173698,23.25,MEDIUM,32.04616354920437
53,95,Bellary Road,primary,13.023649223076925,77.58493718205128,156,147,0.0961538461538461,4,Tuesday,['WRONG PARKING'],0.85,0.4086155501074322,0.4547,1.0962,0.173121,23.18,MEDIUM,92.61721874292223
193,96,Konanakunte Main Road,primary,12.88861987755102,77.56269660340135,147,140,0.1564625850340136,5,Monday,['NO PARKING'],0.85,0.4016171853210893,0.4382,1.1565,0.173001,23.16,MEDIUM,97.17102128946864
152,97,Sahakar Nagar Road,residential,13.071052277399756,77.58793200243014,823,750,0.0972053462940461,6,Monday,['WRONG PARKING'],0.35,0.6051608303813785,0.74,1.0972,0.171971,23.02,MEDIUM,86.84320656275072
189,98,CV Raman Road,secondary,13.0186677662296,77.55816394753042,160,151,0.2875,20,Sunday,['NO PARKING'],0.7,0.41159807161864603,0.4631,1.2875,0.171788,23.0,MEDIUM,74.23583159117752
306,99,Kumar Krupa Road,secondary,12.987108953488372,77.58027426666666,129,126,0.0620155038759689,2,Sunday,['NO PARKING'],0.73,0.38624401200995656,0.5678,1.062,0.170022,22.76,MEDIUM,54.31612696369776
132,100,7th Cross Road,secondary,12.91367660216346,77.6063948002404,416,384,0.2067307692307692,0,Thursday,['NO PARKING'],0.7,0.5244189823078895,0.3821,1.2067,0.169259,22.66,MEDIUM,160.30673005322757
250,101,5th Main Road,primary,12.94158806597938,77.56708885463918,194,185,0.1494845360824742,23,Thursday,['NO PARKING'],0.85,0.43431148584265356,0.3984,1.1495,0.169063,22.63,MEDIUM,144.75612862903418
75,102,Subramanyapura Main Road,primary,12.906850941700087,77.54603057182707,81,77,0.4938271604938271,7,Saturday,['NO PARKING'],0.73,0.33161484102047845,0.4661,1.4938,0.16855,22.56,MEDIUM,54.167982152387296
435,103,9th Main Road,primary,12.919695638,77.583666764,50,49,0.34,22,Sunday,['WRONG PARKING'],0.82,0.27531668876584997,0.5527,1.34,0.167202,22.38,MEDIUM,37.46120409821353
126,104,Cunningham Road,residential,12.98129196964478,77.59844532744887,929,569,0.0398277717976318,23,Thursday,['WRONG PARKING'],0.35,0.6195069229680892,0.74,1.0398,0.166838,22.33,MEDIUM,69.98166974802479
149,105,Mumbai Bengaluru Highway,secondary,13.030605120794888,77.53627014192803,230,225,0.2391304347826087,4,Tuesday,['WRONG PARKING'],0.64,0.45439583446644405,0.461,1.2391,0.16612,22.24,MEDIUM,84.11154116671065
320,106,Outer Ring Road,trunk,12.924430933333332,77.64997707222223,18,18,0.6111111111111112,21,Saturday,['NO PARKING'],0.95,0.15826301094362202,0.6792,1.6111,0.164522,22.02,MEDIUM,19.478931503005693
175,107,Allalasandra Main Road,primary,13.093880261904763,77.59430343619047,105,100,0.1809523809523809,0,Saturday,['WRONG PARKING'],0.85,0.36204871627615,0.4479,1.181,0.162786,21.79,MEDIUM,78.31880910566326
282,108,Hosur Road,primary,12.840377156623344,77.67696523956388,110,109,0.2727272727272727,23,Friday,['NO PARKING'],0.85,0.3675127698900502,0.4063,1.2727,0.161534,21.62,MEDIUM,102.26794660510888
807,109,2nd Main Road,primary,13.001373554411764,77.59556167205882,68,42,0.0441176470588235,22,Wednesday,['WRONG PARKING'],0.85,0.31115177693575724,0.5801,1.0441,0.16019,21.44,MEDIUM,42.26030283092716
134,110,Mallathahalli Road,residential,12.96094113028169,77.51174676021127,284,270,0.3380281690140845,6,Thursday,['NO PARKING'],0.35,0.4792995923314971,0.7085,1.338,0.159027,21.29,MEDIUM,56.127378250531535
140,111,41st Cross Road,secondary,12.989723524342104,77.55331300657895,152,137,0.3223684210526316,23,Wednesday,['WRONG PARKING'],0.7,0.40555605186228294,0.4212,1.3224,0.158125,21.17,MEDIUM,82.37709277900173
70,112,20th Main Road,primary,12.986324594376558,77.54955143535321,396,316,0.2651515151515151,21,Tuesday,['WRONG PARKING'],0.75,0.5185923070625545,0.3209,1.2652,0.157912,21.14,MEDIUM,345.1848629062635
548,113,Kondajji Basappa Road,tertiary,12.956851275,77.57505051000001,40,38,0.4,21,Tuesday,['NO PARKING'],0.55,0.2494429517567424,0.82,1.4,0.157498,21.08,MEDIUM,14.594828583942784
372,114,Mumbai Bengaluru Highway,tertiary,13.015271806827558,77.55511406080542,69,69,0.2463768115942029,22,Friday,"['NO PARKING', 'PARKING IN A MAIN ROAD']",0.55,0.31285754704305796,0.7335,1.2464,0.157314,21.06,MEDIUM,29.10778036432698
37,115,1st Main Road,primary,12.9451875703125,77.59505707968749,64,59,0.421875,21,Tuesday,['NO PARKING'],0.85,0.3040721227462205,0.4224,1.4219,0.155235,20.78,MEDIUM,69.9921009031626
88,116,1st Cross Road,secondary,13.045874673417725,77.75035631518988,79,79,0.240506329113924,6,Sunday,['NO PARKING'],0.7,0.32868755705494423,0.5391,1.2405,0.153868,20.6,MEDIUM,43.84784666668087
804,117,Dasarahalli Main Road,primary,13.055681942105265,77.5942106263158,19,16,0.2105263157894736,23,Tuesday,['NO PARKING'],0.85,0.16434377852747215,0.909,1.2105,0.15371,20.58,MEDIUM,14.511213752535925
326,118,Sarjapura Main Road,primary,12.91303971025773,77.67962567509738,187,183,0.1390374331550802,4,Saturday,['NO PARKING'],0.85,0.42997762026166786,0.3674,1.139,0.152942,20.47,MEDIUM,207.2888053379517
421,119,Bannerghatta Main Road,primary,12.87300778035784,77.59420155740544,26,25,0.7307692307692307,21,Friday,['WRONG PARKING'],0.85,0.19992087099785716,0.5195,1.7308,0.152795,20.45,MEDIUM,30.228050617707456
78,120,15th Cross Road,secondary,13.062851258823528,77.58701903137255,102,94,0.7647058823529411,8,Thursday,['WRONG PARKING'],0.7,0.35864516259017026,0.3428,1.7647,0.151871,20.33,MEDIUM,101.22993931542312
413,121,Hosahalli Main Road,primary,13.144286809375,77.617895503125,32,32,0.5625,2,Wednesday,['NO PARKING'],0.85,0.2237101766871223,0.5093,1.5625,0.151321,20.26,MEDIUM,34.52212412502783
394,122,24th Main Road,primary,12.900377078787878,77.58585964545455,33,32,0.6363636363636364,8,Wednesday,['NO PARKING'],0.85,0.227249214933153,0.4781,1.6364,0.151123,20.23,MEDIUM,38.82449253280237
316,123,Hosur Road,primary,12.883623745454544,77.64292432727274,22,21,0.8181818181818182,20,Wednesday,['WRONG PARKING'],0.85,0.18091241383932422,0.5385,1.8182,0.150562,20.16,MEDIUM,26.43499030859877
395,124,Forest Region Road,secondary,13.068543753846154,77.53012699230769,13,13,1.0,7,Wednesday,['WRONG PARKING'],0.7,0.12206032875161596,0.8782,2.0,0.150071,20.09,MEDIUM,11.70657407759142
468,125,Hosur Road,primary,12.936557627272729,77.6058928290909,55,48,0.4181818181818181,22,Saturday,['NO PARKING'],0.85,0.2864041072790881,0.4296,1.4182,0.14832,19.86,MEDIUM,62.213613559006
